ID,FPS,LOOPTYPE,,
Death,30,0,,
,,,,
TextureID,Left,Top,Width,Height
,0,432,72,72
,72,432,72,72
,144,432,72,72
,216,432,72,72
,288,432,72,72
,216,504,72,-72
,144,504,72,-72
,72,504,72,-72
,0,432,72,72
,72,432,72,72
,144,432,72,72
,216,432,72,72
,288,432,72,72
,216,504,72,-72
,144,504,72,-72
,72,504,72,-72
,0,432,72,72
,72,432,72,72
,144,432,72,72
,216,432,72,72
,288,432,72,72
,216,504,72,-72
,144,504,72,-72
,72,504,72,-72
,0,432,72,72
,72,432,72,72
,144,432,72,72
,216,432,72,72
,288,432,72,72
,216,504,72,-72
,144,504,72,-72
,72,504,72,-72
,0,432,72,72
,72,432,72,72
,144,432,72,72
,216,432,72,72
,288,432,72,72
,216,504,72,-72
,144,504,72,-72
,72,504,72,-72
,0,432,72,72
,72,432,72,72
,144,432,72,72
,216,432,72,72
,288,432,72,72
,216,504,72,-72
,144,504,72,-72
,72,504,72,-72
,0,432,72,72
,72,432,72,72
,144,432,72,72
,216,432,72,72
,288,432,72,72
,216,504,72,-72
,144,504,72,-72
,72,504,72,-72
,0,432,72,72
,72,432,72,72
,144,432,72,72
,216,432,72,72
,288,432,72,72
,216,504,72,-72
,144,504,72,-72
,72,504,72,-72
