StateName,EventName,IgnoreExitTime,ExitTime,TargetState,EnterTime
Idle,PressJump,1,0,Jump,0
Idle,PressMove,1,0,Move,0
Idle,Run,1,0,Run,0
Idle,PressSit,1,0,Sit,0
Idle,AbilityKeyContinue,1,0,Suction,0
Idle,Hit,1,0,Hit,0
Idle,SuperHit,1,0,SuperHit,0
Idle,TiltedL,1,0,TiltedIdleL,0
Idle,TiltedR,1,0,TiltedIdleR,0
Idle,Door,1,0,GoDoor,0
Idle,Falling,1,0,Falling,0
Idle,Shot,1,0,BalloonShot,0
Idle,CutterAttack,1,0,CutterAttack,0
Idle,CutterCatch,1,0,CutterCatch,0
Idle,CutterNearAttack,1,0,CutterNearAttack,0
Idle,BombReady,1,0,BombReady,0
Idle,BeamAttack,1,0,BeamAttack,0
Idle,BeamCharge,1,0,BeamCharge,0
Falling,Idle,1,0,Idle,0
TiltedIdleL,PressJump,1,0,Jump,0
TiltedIdleL,PressMove,1,0,Move,0
TiltedIdleL,Run,1,0,Run,0
TiltedIdleL,PressSit,1,0,Sit,0
TiltedIdleL,AbilityKeyContinue,1,0,Suction,0
TiltedIdleL,Hit,1,0,Hit,0
TiltedIdleL,SuperHit,1,0,SuperHit,0
TiltedIdleL,NoTilted,1,0,Idle,0
TiltedIdleL,TiltedR,1,0,TiltedIdleR,0
TiltedIdleL,Door,1,0,GoDoor,0
TiltedIdleL,Falling,1,0,Falling,0
TiltedIdleL,Shot,1,0,BalloonShot,0
TiltedIdleL,CutterAttack,1,0,CutterAttack,0
TiltedIdleL,CutterCatch,1,0,CutterCatch,0
TiltedIdleL,CutterNearAttack,1,0,CutterNearAttack,0
TiltedIdleL,BombReady,1,0,BombReady,0
TiltedIdleL,BeamAttack,1,0,BeamAttack,0
TiltedIdleL,BeamCharge,1,0,BeamCharge,0
TiltedIdleR,PressJump,1,0,Jump,0
TiltedIdleR,PressMove,1,0,Move,0
TiltedIdleR,Run,1,0,Run,0
TiltedIdleR,PressSit,1,0,Sit,0
TiltedIdleR,AbilityKeyContinue,1,0,Suction,0
TiltedIdleR,Hit,1,0,Hit,0
TiltedIdleR,SuperHit,1,0,SuperHit,0
TiltedIdleR,TiltedL,1,0,TiltedIdleL,0
TiltedIdleR,NoTilted,1,0,Idle,0
TiltedIdleR,Door,1,0,GoDoor,0
TiltedIdleR,Falling,1,0,Falling,0
TiltedIdleR,Shot,1,0,BalloonShot,0
TiltedIdleR,CutterAttack,1,0,CutterAttack,0
TiltedIdleR,CutterCatch,1,0,CutterCatch,0
TiltedIdleR,CutterNearAttack,1,0,CutterNearAttack,0
TiltedIdleR,BombReady,1,0,BombReady,0
TiltedIdleR,BeamAttack,1,0,BeamAttack,0
TiltedIdleR,BeamCharge,1,0,BeamCharge,0
Jump,Idle,1,0,Idle,0
Jump,PressJump,1,0,BalloonFly,0
Jump,Ground,1,0,Idle,0
Jump,AbilityKeyContinue,1,0,Suction,0
Jump,Hit,1,0,Hit,0
Jump,SuperHit,1,0,SuperHit,0
Jump,Door,1,0,GoDoor,0
Jump,Falling,1,0,Falling,0
Jump,Shot,1,0,BalloonShot,0
Jump,CutterSkyAttack,1,0,CutterSkyAttack,0
Jump,CutterSkyDashAttack,1,0,CutterSkyDashAttack,0
Jump,BeamAttack,1,0,BeamAttack,0
Jump,BeamSkyShot,1,0,BeamSkyShot,0
Jump,BombReady,1,0,BombReady,0
Move,Idle,1,0,Idle,0
Move,Run,1,0,Run,0
Move,AbilityKeyContinue,1,0,Suction,0
Move,PressJump,1,0,Jump,0
Move,PressSit,1,0,Sit,0
Move,Door,1,0,GoDoor,0
Move,Falling,1,0,Falling,0
Move,Wall,1,0,Wall,0
Move,Hit,1,0,Hit,0
Move,CutterAttack,1,0,CutterAttack,0
Move,CutterCatch,1,0,CutterCatch,0
Move,CutterNearAttack,1,0,CutterNearAttack,0
Move,BeamAttack,1,0,BeamAttack,0
Move,BeamCharge,1,0,BeamCharge,0
Run,Idle,1,0,Idle,0
Run,AbilityKeyContinue,1,0,Suction,0
Run,PressJump,1,0,Jump,0
Run,PressSit,1,0,Sit,0
Run,Door,1,0,GoDoor,0
Run,Falling,1,0,Falling,0
Run,Wall,1,0,Wall,0
Run,Hit,1,0,Hit,0
Run,CutterDashAttack,1,0,CutterDashAttack,0
Run,BeamDashAttack,1,0,BeamDashAttack,0
Run,BombReady,1,0,BombReady,0
Sit,Idle,1,0,Idle,0
Sit,AbilityKeyContinue,1,0,Suction,0
Sit,PressJump,1,0,Tackle,0
Sit,Falling,1,0,Falling,0
Sit,Hit,1,0,Hit,0
Sit,BombInstall,1,0,BombInstall,0
Suction,Idle,1,0,Idle,0
