StateName,EventName,IgnoreExitTime,ExitTime,TargetState,EnterTime
Move,AttackReady,1,0,AttackReady,0
Move,JumpReady,1,0,JumpReady,0
Move,Hit,1,0,Hit,0
Move,Suction,1,0,Suction,0
JumpReady,Jump,1,0,Jump,0
JumpReady,Hit,1,0,Hit,0
JumpReady,Suction,1,0,Suction,0
Jump,Move,1,0,Move,0
Jump,Hit,1,0,Hit,0
Jump,Suction,1,0,Suction,0
AttackReady,Attack,1,0,Attack,0
AttackReady,Hit,1,0,Hit,0
AttackReady,Suction,1,0,Suction,0
Attack,Move,1,0,Move,0
Attack,Hit,1,0,Hit,0
Attack,Suction,1,0,Suction,0
Hit,Move,1,0,Move,0
Hit,Suction,1,0,Suction,0
