StateName,EventName,IgnoreExitTime,ExitTime,TargetState,EnterTime
Idle,Throw,1,0,Throw,0
Idle,Delay,1,0,Delay,0
Idle,Suction,1,0,Suction,0
Idle,Hit,1,0,Hit,0
Delay,Jump,1,0,Jump,0
Delay,Idle,1,0,Idle,0
Delay,Suction,1,0,Suction,0
Delay,Hit,1,0,Hit,0
Throw,Idle,1,0,Idle,0
Throw,Catch,1,0,Catch,0
Throw,Suction,1,0,Suction,0
Throw,Hit,1,0,Hit,0
Catch,Delay,1,0,Delay,0
Catch,Suction,1,0,Suction,0
Catch,Hit,1,0,Hit,0
Jump,Idle,1,0,Idle,0
Jump,Throw,1,0,Throw,0
Jump,Hit,1,0,Hit,0
Jump,Suction,1,0,Suction,0
Hit,Suction,1,0,Suction,0
