ID,FPS,LOOPTYPE,,
Idle,20,1,,
,,,,
TextureID,Left,Top,Width,Height
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,0,0,72,96
,72,0,72,96
,144,0,72,96
,216,0,72,96
,144,0,72,96
,72,0,72,96
,0,0,72,96
,72,0,72,96
,144,0,72,96
,216,0,72,96
,144,0,72,96
,72,0,72,96
