Character,RESOURCE_PATH,Left,Top,Width,Height
a,fonts/DefaultFont.png,0,0,11,13
b,fonts/DefaultFont.png,11,0,11,13
c,fonts/DefaultFont.png,22,0,10,13
d,fonts/DefaultFont.png,32,0,11,13
e,fonts/DefaultFont.png,43,0,11,13
f,fonts/DefaultFont.png,54,0,9,13
g,fonts/DefaultFont.png,63,0,11,13
h,fonts/DefaultFont.png,74,0,10,13
i,fonts/DefaultFont.png,84,0,5,13
j,fonts/DefaultFont.png,89,0,7,13
k,fonts/DefaultFont.png,96,0,10,13
l,fonts/DefaultFont.png,106,0,5,13
m,fonts/DefaultFont.png,111,0,13,13
n,fonts/DefaultFont.png,124,0,10,13
o,fonts/DefaultFont.png,134,0,11,13
p,fonts/DefaultFont.png,145,0,11,13
q,fonts/DefaultFont.png,156,0,11,13
r,fonts/DefaultFont.png,167,0,9,13
s,fonts/DefaultFont.png,176,0,10,13
t,fonts/DefaultFont.png,186,0,9,13
u,fonts/DefaultFont.png,195,0,10,13
v,fonts/DefaultFont.png,205,0,11,13
w,fonts/DefaultFont.png,216,0,14,13
x,fonts/DefaultFont.png,230,0,11,13
y,fonts/DefaultFont.png,241,0,11,13
z,fonts/DefaultFont.png,252,0,10,13
A,fonts/DefaultFont.png,262,0,13,13
B,fonts/DefaultFont.png,275,0,12,13
C,fonts/DefaultFont.png,287,0,12,13
D,fonts/DefaultFont.png,299,0,12,13
E,fonts/DefaultFont.png,311,0,12,13
F,fonts/DefaultFont.png,323,0,12,13
G,fonts/DefaultFont.png,335,0,12,13
H,fonts/DefaultFont.png,347,0,12,13
I,fonts/DefaultFont.png,359,0,5,13
J,fonts/DefaultFont.png,364,0,11,13
K,fonts/DefaultFont.png,375,0,12,13
L,fonts/DefaultFont.png,387,0,12,13
M,fonts/DefaultFont.png,399,0,13,13
N,fonts/DefaultFont.png,412,0,11,13
O,fonts/DefaultFont.png,423,0,12,13
P,fonts/DefaultFont.png,435,0,12,13
Q,fonts/DefaultFont.png,447,0,12,13
R,fonts/DefaultFont.png,459,0,12,13
S,fonts/DefaultFont.png,471,0,12,13
T,fonts/DefaultFont.png,483,0,13,13
U,fonts/DefaultFont.png,496,0,12,13
V,fonts/DefaultFont.png,508,0,11,13
W,fonts/DefaultFont.png,519,0,15,13
X,fonts/DefaultFont.png,534,0,11,13
Y,fonts/DefaultFont.png,545,0,11,13
Z,fonts/DefaultFont.png,556,0,10,13
 ,fonts/DefaultFont.png,564,0,5,13
