Character,RESOURCE_PATH,Left,Top,Width,Height
a,fonts/SpriteFont.png,0,0,11,13
b,fonts/SpriteFont.png,11,0,11,13
c,fonts/SpriteFont.png,22,0,10,13
d,fonts/SpriteFont.png,32,0,11,13
e,fonts/SpriteFont.png,43,0,11,13
f,fonts/SpriteFont.png,54,0,9,13
g,fonts/SpriteFont.png,63,0,11,13
h,fonts/SpriteFont.png,74,0,10,13
i,fonts/SpriteFont.png,84,0,5,13
j,fonts/SpriteFont.png,89,0,7,13
k,fonts/SpriteFont.png,96,0,10,13
l,fonts/SpriteFont.png,106,0,5,13
m,fonts/SpriteFont.png,111,0,13,13
n,fonts/SpriteFont.png,124,0,10,13
o,fonts/SpriteFont.png,134,0,11,13
p,fonts/SpriteFont.png,145,0,11,13
q,fonts/SpriteFont.png,156,0,11,13
r,fonts/SpriteFont.png,167,0,9,13
s,fonts/SpriteFont.png,176,0,10,13
t,fonts/SpriteFont.png,186,0,9,13
u,fonts/SpriteFont.png,195,0,10,13
v,fonts/SpriteFont.png,205,0,11,13
w,fonts/SpriteFont.png,216,0,14,13
x,fonts/SpriteFont.png,230,0,11,13
y,fonts/SpriteFont.png,241,0,11,13
z,fonts/SpriteFont.png,252,0,10,13
A,fonts/SpriteFont.png,262,0,13,13
B,fonts/SpriteFont.png,275,0,12,13
C,fonts/SpriteFont.png,287,0,12,13
D,fonts/SpriteFont.png,299,0,12,13
E,fonts/SpriteFont.png,311,0,12,13
F,fonts/SpriteFont.png,323,0,12,13
G,fonts/SpriteFont.png,335,0,12,13
H,fonts/SpriteFont.png,347,0,12,13
I,fonts/SpriteFont.png,359,0,5,13
J,fonts/SpriteFont.png,364,0,11,13
K,fonts/SpriteFont.png,375,0,12,13
L,fonts/SpriteFont.png,387,0,12,13
M,fonts/SpriteFont.png,399,0,13,13
N,fonts/SpriteFont.png,412,0,11,13
O,fonts/SpriteFont.png,423,0,12,13
P,fonts/SpriteFont.png,435,0,12,13
Q,fonts/SpriteFont.png,447,0,12,13
R,fonts/SpriteFont.png,459,0,12,13
S,fonts/SpriteFont.png,471,0,12,13
T,fonts/SpriteFont.png,483,0,13,13
U,fonts/SpriteFont.png,496,0,12,13
V,fonts/SpriteFont.png,508,0,11,13
W,fonts/SpriteFont.png,519,0,15,13
X,fonts/SpriteFont.png,534,0,11,13
Y,fonts/SpriteFont.png,545,0,11,13
Z,fonts/SpriteFont.png,556,0,10,13
 ,fonts/SpriteFont.png,564,0,5,13
